entry_date,exit_date,signal_type,entry_price,exit_price,result,pnl_pct,pnl_usd,capital,days
2024-03-22,2024-03-25,C_LongOro,1400.643994957887,1384.9422616056197,LOSS,-2.05,-17.55,838.32,3
2024-04-15,2024-04-18,A_LongPlata_ShortOro,1321.5257005656883,1311.181319495118,LOSS,-2.05,-17.19,821.13,3
2024-05-15,2024-05-17,A_LongPlata_ShortOro,1288.407133224569,1274.7929602549468,LOSS,-2.05,-16.83,804.3,2
2024-05-30,2024-05-31,C_LongOro,1286.684696562344,1269.5256062003436,LOSS,-2.05,-16.49,787.81,1
2024-06-06,2024-06-07,C_LongOro,1347.1730250355808,1328.190204585743,LOSS,-2.05,-16.15,771.66,1
2024-06-10,2024-06-14,C_LongOro,1336.345124058858,1384.690221657747,WIN,3.95,30.48,802.14,4
2024-06-18,2024-06-20,C_LongOro,1405.2702725415104,1386.1508183432509,LOSS,-2.05,-16.44,785.7,2
2024-07-10,2024-07-19,C_LongOro,1347.2732670778328,1333.9051727569422,LOSS,-2.05,-16.11,769.59,9
2025-02-17,2025-02-19,A_LongPlata_ShortOro,1216.9569543562843,1195.5615427356206,LOSS,-2.05,-15.78,753.82,2
2025-02-20,2025-02-24,A_LongPlata_ShortOro,1207.4181161696913,1244.0862712456308,WIN,3.95,29.78,783.59,4
2025-02-25,2025-02-28,A_LongPlata_ShortOro,1244.0313765293768,1268.1520893224774,WIN,3.95,30.95,814.54,3
2025-03-28,2025-04-03,C_LongOro,1229.43504739077,1262.8667090631366,WIN,3.95,32.17,846.72,6
2025-04-07,2025-04-10,C_LongOro,1262.1395147433848,1290.3959035855266,WIN,3.95,33.45,880.16,3
2025-05-05,2025-05-15,C_LongOro,1269.2387686909924,1332.967657244167,WIN,3.95,34.77,914.93,10
2025-08-21,2025-08-26,A_LongPlata_ShortOro,1355.378717610483,1385.3822660859926,WIN,3.95,36.14,951.07,5
2025-09-05,2025-09-08,A_LongPlata_ShortOro,1337.1414538634324,1317.6298167963623,LOSS,-2.05,-19.5,931.57,3
2025-09-09,2025-09-11,A_LongPlata_ShortOro,1303.0638408176492,1286.3624164187704,LOSS,-2.05,-19.1,912.48,2
2025-09-17,2025-09-19,A_LongPlata_ShortOro,1314.3796987201945,1299.0688357996896,LOSS,-2.05,-18.71,893.77,2
2025-09-24,2025-09-25,A_LongPlata_ShortOro,1303.8277433201536,1282.8398337662352,LOSS,-2.05,-18.32,875.45,1
2025-10-22,2025-11-04,A_LongPlata_ShortOro,1231.7980925655024,1250.673298173601,WIN,3.95,34.58,910.03,13
2025-11-06,2025-11-07,A_LongPlata_ShortOro,1249.6005936861322,1241.5830809956185,LOSS,-2.05,-18.66,891.37,1
2025-11-13,2025-11-17,A_LongPlata_ShortOro,1261.163057965769,1253.148370277434,LOSS,-2.05,-18.27,873.1,4
2025-12-22,2025-12-24,A_LongPlata_ShortOro,1217.3340444456594,1233.3049202899074,WIN,3.95,34.49,907.59,2
2025-12-25,2025-12-29,A_LongPlata_ShortOro,1250.170462956347,1237.8211466158318,LOSS,-2.05,-18.61,888.98,4
2026-01-15,2026-01-16,A_LongPlata_ShortOro,1234.9157335336763,1206.080768045087,LOSS,-2.05,-18.22,870.76,1
2026-01-28,2026-01-30,A_LongPlata_ShortOro,1211.6250854413329,1232.2748671461177,WIN,3.95,34.39,905.15,2
2026-02-02,2026-02-03,A_LongPlata_ShortOro,1244.381601085668,1226.8640557572508,LOSS,-2.05,-18.56,886.6,1
2026-02-19,2026-02-20,A_LongPlata_ShortOro,1208.0132460348675,1225.0268894906308,WIN,3.95,35.02,921.62,1
